OriginalRecipeName: aaa.rcp

TotalStep,RcpType,StepGrpBgn,StepGrpEnd,StepGrpCyc,IdleStopBegin,KeepLastCon,Thickness
L03-V42,0,0,0,0,0,0,0
L03-V43,0,0,0,0,0,0,0
L03-V44,0,0,0,0,0,0,0
L03-V45,0,0,0,0,0,0,0
L03-V46,0,0,0,0,0,0,0
L03-V47,0,0,0,0,0,0,0
L03-V48,0,0,0,0,0,0,0
L03-V49,0,0,1,0,0,0,0
L03-V50,0,0,1,0,0,0,0
L03-V51,0,0,0,0,0,0,0
L03-V52,0,0,0,0,0,0,0
L03-V53,0,0,0,0,0,0,0
L03-V54,0,0,0,0,0,0,0
L03-V55,0,0,0,0,0,0,0
L03-V56,0,0,1,0,0,0,0
L03-V57,0,0,1,0,0,0,0
L03-V58,0,0,1,0,0,0,0
L03-V59,0,0,1,0,0,0,0
L03-V60,0,0,1,0,0,0,0
L03-V61,0,0,1,0,0,0,0
L03-V62,0,0,1,0,0,0,0
L03-V63,0,0,1,0,0,0,0
L03-V64,0,0,1,0,0,0,0
L03-V65,0,0,1,0,0,0,0
L03-V66,0,0,0,0,0,0,0
L03-V67,0,0,0,0,0,0,0
L03-V68,0,0,0,0,0,0,0
L03-V69,0,0,0,0,0,0,0
L03-V70,0,0,1,0,0,0,0
L03-V71,0,0,0,0,0,0,0
L03-V72,0,0,0,0,0,0,0
L03-V73,0,0,0,0,0,0,0
L03-V74,0,0,0,0,0,0,0
L03-V75,0,0,0,0,0,0,0
L03-V76,0,0,0,0,0,0,0
L03-V77,0,0,0,0,0,0,0
L03-V78,0,0,0,0,0,0,0
L03-V79,0,0,0,0,0,0,0
L03-V80,0,0,0,0,0,0,0
L03-V81,0,0,0,0,0,0,0
L03-V82,0,0,0,0,0,0,0
L03-V83,0,0,0,0,0,0,0
L03-V84,0,0,0,0,0,0,0
L03-V85,0,0,0,0,0,0,0
L03-V86,0,0,0,0,0,0,0
L03-V87,0,0,0,0,0,0,0
L03-V88,0,0,0,0,0,0,0
L03-V89,0,0,0,0,0,0,0
L03-V90,0,0,0,0,0,0,0
L03-V91,0,0,0,0,0,0,0
L03-V92,0,0,0,0,0,0,0
L03-V93,0,0,0,0,0,0,0
L03-V94,0,0,0,0,0,0,0
L03-V95,0,0,1,0,0,0,0
L03-V96,0,0,1,0,0,0,0
L03-V97,0,0,1,0,0,0,0
L03-V98,0,0,0,0,0,0,0
L03-V99,0,0,0,0,0,0,0
L03-V100,0,0,0,0,0,0,0
L03-V101,0,0,1,0,0,0,0
L03-V102,0,0,1,0,0,0,0
L03-V103,0,0,0,0,0,0,0
L03-V104,0,0,0,0,0,0,0
L03-V105,0,0,1,0,0,0,0
L03-V106,0,0,0,0,0,0,0
L03-V107,0,0,0,0,0,0,0
L03-V108,0,0,0,0,0,0,0
L03-V109,0,0,1,0,0,0,0
L03-V110,0,0,1,0,0,0,0
L03-V111,0,0,0,0,0,0,0

L04-Time,0.00,0.00,0.20,0.00,0.00,0.00,0.00
L04-V01,0,0,1,0,0,0,0
L04-V02,0,0,1,0,0,0,0
L04-V03,0,0,1,0,0,0,0
L04-V04,0,0,1,0,0,0,0
L04-V05,0,0,1,0,0,0,0
L04-V06,0,0,1,0,0,0,0
L04-V07,0,0,0,0,0,0,0
L04-V08,0,0,0,0,0,0,0
L04-V09,0,0,0,0,0,0,0
L04-V10,0,0,0,0,0,0,0
L04-V11,0,0,0,0,0,0,0
L04-V12,0,0,1,0,0,0,0
L04-V13,0,0,1,0,0,0,0
L04-V14,0,0,0,0,0,0,0
L04-V15,0,0,1,0,0,0,0
L04-V16,0,0,0,0,0,0,0
L04-V17,0,0,1,0,0,0,0
L04-V18,0,0,0,0,0,0,0
L04-V19,0,0,0,0,0,0,0
L04-V20,0,0,1,0,0,0,0
L04-V21,0,0,1,0,0,0,0
L04-V22,0,0,1,0,0,0,0
L04-V23,0,0,1,0,0,0,0
L04-V24,0,0,0,0,0,0,0
L04-V25,0,0,0,0,0,0,0
L04-V26,0,0,0,0,0,0,0
L04-V27,0,0,0,0,0,0,0
L04-V28,0,0,0,0,0,0,0
L04-V29,0,0,0,0,0,0,0
L04-V30,0,0,0,0,0,0,0
L04-V31,0,0,0,0,0,0,0
L04-V32,0,0,0,0,0,0,0
L04-V33,0,0,0,0,0,0,0
L04-V34,0,0,0,0,0,0,0
L04-V35,0,0,0,0,0,0,0
L04-V36,0,0,0,0,0,0,0
L04-V37,0,0,0,0,0,0,0
L04-V38,0,0,0,0,0,0,0
L04-V39,0,0,0,0,0,0,0
L04-V40,0,0,0,0,0,0,0
L04-V41,0,0,0,0,0,0,0
L04-V42,0,0,0,0,0,0,0
L04-V43,0,0,0,0,0,0,0
L04-V44,0,0,0,0,0,0,0
L04-V45,0,0,0,0,0,0,0
L04-V46,0,0,0,0,0,0,0
L04-V47,0,0,0,0,0,0,0
L04-V48,0,0,0,0,0,0,0
L04-V49,0,0,1,0,0,0,0
L04-V50,0,0,1,0,0,0,0
L04-V51,0,0,0,0,0,0,0
L04-V52,0,0,0,0,0,0,0
L04-V53,0,0,0,0,0,0,0
L04-V54,0,0,0,0,0,0,0
L04-V55,0,0,0,0,0,0,0
L04-V56,0,0,1,0,0,0,0
L04-V57,0,0,1,0,0,0,0
L04-V58,0,0,1,0,0,0,0
L04-V59,0,0,1,0,0,0,0
L04-V60,0,0,1,0,0,0,0
L04-V61,0,0,1,0,0,0,0
L04-V62,0,0,1,0,0,0,0
L04-V63,0,0,1,0,0,0,0
L04-V64,0,0,1,0,0,0,0
L04-V65,0,0,1,0,0,0,0
L04-V66,0,0,0,0,0,0,0
L04-V67,0,0,0,0,0,0,0
L04-V68,0,0,0,0,0,0,0
L04-V69,0,0,0,0,0,0,0
L04-V70,0,0,1,0,0,0,0
L04-V71,0,0,0,0,0,0,0
L04-V72,0,0,0,0,0,0,0
L04-V73,0,0,0,0,0,0,0
L04-V74,0,0,0,0,0,0,0
L04-V75,0,0,0,0,0,0,0
L04-V76,0,0,0,0,0,0,0
L04-V77,0,0,0,0,0,0,0
L04-V78,0,0,0,0,0,0,0
L04-V79,0,0,0,0,0,0,0
L04-V80,0,0,0,0,0,0,0
L04-V81,0,0,0,0,0,0,0
L04-V82,0,0,0,0,0,0,0
L04-V83,0,0,0,0,0,0,0
L04-V84,0,0,0,0,0,0,0
L04-V85,0,0,0,0,0,0,0
L04-V86,0,0,0,0,0,0,0
L04-V87,0,0,0,0,0,0,0
L04-V88,0,0,0,0,0,0,0
L04-V89,0,0,0,0,0,0,0
L04-V90,0,0,0,0,0,0,0
L04-V91,0,0,0,0,0,0,0
L04-V92,0,0,0,0,0,0,0
L04-V93,0,0,0,0,0,0,0
L04-V94,0,0,0,0,0,0,0
L04-V95,0,0,0,0,0,0,0
L04-V96,0,0,0,0,0,0,0
L04-V97,0,0,1,0,0,0,0
L04-V98,0,0,0,0,0,0,0
L04-V99,0,0,0,0,0,0,0
L04-V100,0,0,0,0,0,0,0
